OBJECTID *;species;bg;en;EURING;Code
172;Cuculus canorus;Обикновена кукувица;Cuckoo;7240;КУ
173;Cuculus saturatus;;Himalayan cuckoo ;7250;
174;Cursorius cursor;;Cream coloured Cursor;4640;
175;Cyanopica cyana;;Azure Magpie;15470;
176;Cygnus cygnus;Поен лебед;Whooper Swan;1540;
177;Cygnus olor;Ням лебед;Mute Swan;1520;
178;Delichon urbica;Градска лястовица;House Martin;10010;
179;Dendrocopos leucotos;Белогърб кълвач;White-backed Woodpecker;8840;
180;Dendrocopos major;Голям пъстър кълвач;Great Spotted Woodpecker;8760;ГПК
181;Dendrocopos medius;Среден пъстър кълвач;Middle Spotted Woodpecker;8830;
182;Dendrocopos minor;Малък пъстър кълвач;Lesser Spotted Woodpecker;8870;
183;Dendrocopos syriacus;Сирийски пъстър кълвач;Syrian Woodpecker;8780;СИК
184;Dryocopus martius;Черен кълвач;Black Woodpecker;8630;
185;Egretta alba;Голяма бяла чапла;Great White Egret;1210;
186;Egretta garzetta;Малка бяла чапла;Little Egret;1190;
187;Egretta gularis;Рифова чапла;Western Reef Heron;1180;
188;Elanus caeruleus;Пепелява каничка;Black-winged Kite;2350;
189;Emberiza aureola;;Yellow breasted Bunting;18760;
190;Emberiza bruniceps;;Red-headed bunting;18800;
191;Emberiza buchanani;;Grey-necked bunting;18670;
192;Emberiza caesia;Пепелява овесарка;Cretzschmar's Bunting;18680;
193;Emberiza cia;Сивоглава овесарка;Rock Bunting;18600;СОВ
194;Emberiza cineracea;;Cinereous bunting ;18650;
195;Emberiza cirlus;Зеленогуша овесарка;Cirl Bunting;18580;ЗО
196;Emberiza citrinella;Жълта овесарка;Yellowhammer;18570;ЖО
197;Emberiza hortulana;Градинска овесарка;Ortolan Bunting;18660;ГРО
198;Emberiza leucocephalos;Белоглава овесарка;Pine Bunting;18560;
199;Emberiza melanocephala;Черноглава овесарка;Black-headed Bunting;18810;ЧО
200;Emberiza pusilla;Малка овесарка;Little Bunting;18740;
201;Emberiza rustica;Белогуша овесарка;Rustic Bunting;18730;
202;Emberiza schoeniclus;Тръстикова овесарка;Reed Bunting;18770;ТО
203;Eremophila alpestris;Ушата чучулига;Shore Lark;9780;
204;Erithacus rubecula;Червеногръдка;Robin;10990;Ч
205;Estrilda astrild;;Common waxbill ;16150;
206;Falco biarmicus;Далматински сокол;Lanner Falcon;3140;
207;Falco cherrug;Ловен сокол;Saker Falcon;3160;
208;Falco columbarius;Малък сокол;Merlin ;3090;
209;Falco eleonorae;Средиземноморски сокол;Eleonora's Falcon;3110;
210;Falco naumanni;Белошипа ветрушка;Lesser Kestrel;3030;
211;Falco pelegrinoides;Ръждивоглав сокол;Barbary Falcon;3210;
212;Falco peregrinus;Сокол скитник;Peregrine;3200;
213;Falco rusticolus;Северен сокол;;3180;
214;Falco subbuteo;Орко;Hobby;3100;СОР
215;Falco tinnunculus;Черношипа ветрушка;Common Kestrel;3040;ОВ
216;Falco vespertinus;Вечерна ветрушка;Red-footed Falcon;3070;
