OBJECTID_1 *;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto
6199;NH3095;заети площадки;Бургас;Burgas;Бургас;град;Burgas;town
6200;MH4006;заети площадки;Сливен;Sliven;Кермен;град;Kermen;town
6201;NH2066;заети площадки;Бургас;Burgas;Братово;село;Bratovo;village
6202;NH2087;заети площадки;Камено;Kameno;Камено;село;Kameno;village
6203;NH3079;заети площадки;Бургас;Burgas;Бургас;град;Burgas;town
6204;LH6170;заети площадки;Казанлък;Kazanlak;Розово;село;Rozovo;village
6205;NH3120;заети площадки;Бургас;Burgas;Бургас;квартал;Burgas;quarter
6206;NH3162;заети площадки;Бургас;Burgas;Бургас;град;Burgas;town
6207;NH3172;заети площадки;Бургас;Burgas;Бургас;град;Burgas;town
6208;MH3144;заети площадки;Сливен;Sliven;Ковачите;село;Kovachite;village
6209;NH4175;заети площадки;Поморие;Pomorie;Поморие;град;Pomorie;town
6210;LH2116;заети площадки;Карлово;Karlovo;Дъбене;село;Dabene;village
6211;NH3116;заети площадки;Бургас;Burgas;Ветрен;село;Vetren;village
6212;LH7107;заети площадки;Казанлък;Kazanlak;Овощник;село;Ovoshtnik;village
6213;LH7197;заети площадки;Мъглиж;Maglizh;Мъглиж;град;Maglizh;town
6214;MH4157;заети площадки;Сливен;Sliven;Самуилово;село;Samuilovo;village
6215;MH8157;заети площадки;Карнобат;Karnobat;Деветинци;село;Devetintsi;village
6216;NH3107;заети площадки;Бургас;Burgas;Ветрен;село;Vetren;village
6217;NH3137;заети площадки;Бургас;Burgas;Банево;село;Banevo;village
6218;NH4108;заети площадки;Бургас;Burgas;Рудник;село;Rudnik;village
6219;NH3119;заети площадки;Бургас;Burgas;Банево;село;Banevo;village
6220;LH9290;заети площадки;Николаево;Nikolaevo;Нова махала;село;Nova mahala;village
6221;MH4280;заети площадки;Сливен;Sliven;Сливен;град;Sliven;town
6222;NH0200;заети площадки;Карнобат;Karnobat;Карнобат;град;Karnobat;town
6223;NH4210;заети площадки;Бургас;Burgas;Брястовец;село;Bryastovets;village
6224;LH2241;заети площадки;Карлово;Karlovo;Васил Левски;село;Vasil Levski;village
6225;LH7202;заети площадки;Казанлък;Kazanlak;Енина;село;Enina;village
6226;MH3222;заети площадки;Сливен;Sliven;Гавраилово;село;Gavrailovo;village
6227;MH4262;заети площадки;Сливен;Sliven;Сливен;град;Sliven;town
6228;LH6283;заети площадки;Казанлък;Kazanlak;Енина;село;Enina;village
6229;MH4283;заети площадки;Сливен;Sliven;Сливен;град;Sliven;town
6230;MH4295;заети площадки;Сливен;Sliven;Сотиря;село;Sotirya;village
6231;LH3236;заети площадки;Карлово;Karlovo;Калофер;град;Kalofer;town
6232;LH5256;заети площадки;Павел баня;Pavel banya;Скобелево;село;Skobelevo;village
6233;MH4296;заети площадки;Сливен;Sliven;Сотиря;село;Sotirya;village
6234;MH8206;заети площадки;Сунгурларе;Sungurlare;Терзийско;село;Terziysko;village
6235;MH4277;заети площадки;Сливен;Sliven;Сливен;град;Sliven;town
6236;LH4208;заети площадки;Павел баня;Pavel banya;Тъжа;село;Tazha;village
6237;LH4228;заети площадки;Павел баня;Pavel banya;Тъжа;село;Tazha;village
6238;LH4258;заети площадки;Павел баня;Pavel banya;Търничени;село;Tarnicheni;village
6239;MH9288;заети площадки;Карнобат;Karnobat;Сигмен;село;Sigmen;village
6240;NH2238;заети площадки;Айтос;Aitos;Айтос;град;Aytos;town
6241;LH4310;заети площадки;Павел баня;Pavel banya;Тъжа;село;Tazha;village
6242;KH7331;заети площадки;Пирдоп;Pirdop;Душанци;село;Dushantsi;village
6243;MH2331;заети площадки;Твърдица;Tvarditza;Боров дол;село;Borov dol;village
6244;KH5384;заети площадки;Челопеч;Chelopech;Челопеч;село;Chelopech;village
6245;LH6415;заети площадки;Габрово;Gabrovo;Габрово;село;Gabrovo;village
6246;KH8447;заети площадки;Тетевен;Teteven;Рибарица;село;Ribaritsa;village
6247;LH6409;заети площадки;Габрово;Gabrovo;Поповци;село;Popovtsi;village
6248;KH8520;заети площадки;Тетевен;Teteven;Васильово;село;Vasilyovo;village
6249;LH1511;заети площадки;Троян;Troyan;Троян;град;Troyan;town
6250;LH6586;заети площадки;Габрово;Gabrovo;Лесичарка;село;Lesicharka;village
6251;LH7529;заети площадки;Дряново;Dryanovo;Геша;село;Gesha;village
6252;MH0642;заети площадки;Велико Търново;Veliko Tarnovo;Миндя;село;Mindya;village
6253;NH6682;заети площадки;Аврен;Avren;Равна гора;село;Ravna gora;village
6254;NH6613;заети площадки;Аврен;Avren;Круша;село;Krusha;village
6255;LH4624;заети площадки;Севлиево;Sevlievo;Сенник;село;Sennik;village
6256;LH4675;заети площадки;Севлиево;Sevlievo;Богатово;село;Bogatovo;village
6257;MH0606;заети площадки;Велико Търново;Veliko Tarnovo;Церова кория;село;Tserova koriya;village
6258;LH8648;заети площадки;Велико Търново;Veliko Tarnovo;Шемшево;село;Shemshevo;village
6259;NH6750;заети площадки;Аврен;Avren;Бенковски;село;Benkovski;village
6260;NH7701;заети площадки;Аврен;Avren;Приселци;село;Priseltsi;village
6261;LH8762;заети площадки;Велико Търново;Veliko Tarnovo;Беляковец;село;Belyakovets;village
6262;NH5722;заети площадки;Аврен;Avren;Аврен;село;Avren;village
6263;LH8764;заети площадки;Велико Търново;Veliko Tarnovo;Беляковец;село;Belyakovets;village
6264;NH6764;заети площадки;Аврен;Avren;Бенковски;село;Benkovski;village
6265;NH7735;заети площадки;Варна;Varna;Варна;квартал;Varna;quarter
6266;NH3766;заети площадки;Провадия;Provadia;Тутраканци;село;Tutrakantsi;village
6267;NH6756;заети площадки;Варна;Varna;Константиново;село;Konstantinovo;village
6268;LH8757;заети площадки;Велико Търново;Veliko Tarnovo;Самоводене;село;Samovodene;village
6269;LH8768;заети площадки;Велико Търново;Veliko Tarnovo;Самоводене;село;Samovodene;village
6270;NH7748;заети площадки;Варна;Varna;Варна;квартал;Varna;quarter
6271;NH3779;заети площадки;Провадия;Provadia;Добрина;село;Dobrina;village
6272;LH8820;заети площадки;Велико Търново;Veliko Tarnovo;Ресен;село;Resen;village
6273;LH1821;заети площадки;Ловеч;Lovech;Баховица;село;Bahovitsa;village
6274;LH9811;заети площадки;Горна Оряховица;Gorna Oryahovitza;Първомайци;село;Parvomaytsi;village
6275;LH9831;заети площадки;Горна Оряховица;Gorna Oryahovitza;Първомайци;село;Parvomaytsi;village
6276;NH1881;заети площадки;Каспичан;Kaspichan;Марково;село;Markovo;village
6277;NH5883;заети площадки;Белослав;Beloslav;Белослав;град;Beloslav;town
6278;NH6854;заети площадки;Варна;Varna;Тополи;село;Topoli;village
6279;LH6855;заети площадки;Павликени;Pavlikeni;Михалци;село;Mihaltsi;village
6280;MH9885;заети площадки;Шумен;Shumen;Мараш;село;Marash;village
6281;LH6846;заети площадки;Павликени;Pavlikeni;Бяла черква;град;Byala cherkva;town
6282;NH7866;заети площадки;Варна;Varna;Варна;град;Varna;town
6283;NH7817;заети площадки;Варна;Varna;Варна;квартал;Varna;quarter
6284;MH6868;заети площадки;Търговище;Targovishte;Търговище;град;Targovishte;town
6285;NH6849;заети площадки;Аксаково;Aksakovo;Аксаково;село;Aksakovo;village
6286;NH7869;заети площадки;Аксаково;Aksakovo;Куманово;село;Kumanovo;village
6287;NH2960;заети площадки;Ветрино;Vetrino;Невша;село;Nevsha;village
6288;NH7952;заети площадки;Аксаково;Aksakovo;Куманово;село;Kumanovo;village
6289;NH8902;заети площадки;Аксаково;Aksakovo;Кичево;село;Kichevo;village
6290;KH5983;заети площадки;Червен бряг;Cherven bryag;Реселец;село;Reselets;village
6291;NH3965;заети площадки;Ветрино;Vetrino;Ветрино;село;Vetrino;village
6292;NH7975;заети площадки;Аксаково;Aksakovo;Климентово;село;Klimentovo;village
6293;LH7917;заети площадки;Павликени;Pavlikeni;Горна Липница;село;Gorna Lipnitsa;village
6294;LH8977;заети площадки;Полски Тръмбеш;Polski Trambesh;Раданово;село;Radanovo;village
6295;MH0907;заети площадки;Горна Оряховица;Gorna Oryahovitza;Стрелец;село;Strelets;village
6296;KH6928;заети площадки;Червен бряг;Cherven bryag;Горник;село;Gornik;village
6297;NH8918;заети площадки;Аксаково;Aksakovo;Генерал Кантарджиево;село;General Kantardzhievo;village
6298;KH8979;заети площадки;Долни Дъбник;Dolni Dabnik;Садовец;село;Sadovets;village
6299;MH0999;заети площадки;Стражица;Strazhitza;Нова Върбовка;село;Nova Varbovka;village
6300;NH8959;заети площадки;Балчик;Balchik;Кранево;село;Kranevo;village
6301;MJ0010;заети площадки;Полски Тръмбеш;Polski Trambesh;Орловец;село;Orlovets;village
6302;NJ0074;заети площадки;Каспичан;Kaspichan;Върбяне;село;Varbyane;village
6303;LJ0087;заети площадки;Плевен;Pleven;Плевен;град;Pleven;town
6304;MJ9017;заети площадки;Хитрино;Hitrino;Добри Войниково;село;Dobri Voynikovo;village
6305;PJ1017;заети площадки;Каварна;Kavarna;Българево;село;Balgarevo;village
6306;NJ0008;заети площадки;Хитрино;Hitrino;Живково;село;Zhivkovo;village
6307;PJ1009;заети площадки;Каварна;Kavarna;Каварна;град;Kavarna;town
6308;LJ9191;заети площадки;Бяла;Byala;Бяла;град;Byala;town
6309;LJ5172;заети площадки;Свищов;Svishtov;Овча могила;село;Ovcha mogila;village
6310;NJ7163;заети площадки;Добрич-селска;Dobrich-selska;Славеево;село;Slaveevo;village
6311;LJ5154;заети площадки;Свищов;Svishtov;Морава;село;Morava;village
6312;NJ9165;заети площадки;Балчик;Balchik;Гурково;село;Gurkovo;village
6313;MJ6106;заети площадки;Разград;Razgrad;Разград;град;Razgrad;town
6314;KJ6127;заети площадки;Кнежа;Knezha;Кнежа;град;Knezha;town
6315;LJ9261;заети площадки;Борово;Borovo;Брестовица;село;Brestovitsa;village
6316;NJ7223;заети площадки;Добрич-селска;Dobrich-selska;Приморци;село;Primortsi;village
6317;LJ6254;заети площадки;Свищов;Svishtov;Българско Сливово;село;Balgarsko Slivovo;village
6318;NJ6214;заети площадки;Добрич;Dobrich;Добрич;град;Dobrich;town
6319;LJ5295;заети площадки;Свищов;Svishtov;Ореш;село;Oresh;village
6320;LJ6235;заети площадки;Свищов;Svishtov;Българско Сливово;село;Balgarsko Slivovo;village
6321;PJ0255;заети площадки;Каварна;Kavarna;Белгун;село;Belgun;village
6322;LJ7287;заети площадки;Ценово;Tzenovo;Караманово;село;Karamanovo;village
6323;LJ5258;заети площадки;Свищов;Svishtov;Ореш;село;Oresh;village
6324;LJ7268;заети площадки;Свищов;Svishtov;Вардим;село;Vardim;village
6325;KJ7289;заети площадки;Долна Митрополия;Dolna Mitropolia;Ставерци;село;Stavertsi;village
6326;LJ7239;заети площадки;Свищов;Svishtov;Свищов;село;Svishtov;village
6327;LJ7289;заети площадки;Свищов;Svishtov;Вардим;село;Vardim;village
6328;LJ6380;заети площадки;Свищов;Svishtov;Свищов;село;Svishtov;village
6329;LJ8330;заети площадки;Свищов;Svishtov;Вардим;село;Vardim;village
6330;MJ0380;заети площадки;Иваново;Ivanovo;Тръстеник;село;Trastenik;village
6331;LJ6351;заети площадки;Свищов;Svishtov;Свищов;село;Svishtov;village
6332;LJ7391;заети площадки;Свищов;Svishtov;Вардим;село;Vardim;village
6333;LJ8311;заети площадки;Свищов;Svishtov;Вардим;село;Vardim;village
6334;MJ2321;заети площадки;Иваново;Ivanovo;Червен;село;Cherven;village
6335;LJ5302;заети площадки;Белене;Belene;Белене;град;Belene;town
6336;LJ6332;заети площадки;Свищов;Svishtov;Свищов;село;Svishtov;village
6337;MJ2383;заети площадки;Иваново;Ivanovo;Нисово;село;Nisovo;village
6338;PJ0378;заети площадки;Генерал Тошево;General Toshevo;Спасово;село;Spasovo;village
6339;KJ9412;заети площадки;Долна Митрополия;Dolna Mitropolia;Байкал;село;Baykal;village
6340;MJ1413;заети площадки;Иваново;Ivanovo;Пиргово;село;Pirgovo;village
6341;NJ3484;заети площадки;Тервел;Tervel;Божан;село;Bozhan;village
