OBJECTID;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
3321;NH2100;незаети площадки;Камено;Kameno;Камено;село;Kameno;village;Бургас;Burgas;35883;27.290669;42.569789;КАМЕНОКАМЕНО
3322;KH5141;незаети площадки;Панагюрище;Panagyurishte;Поибрене;село;Poibrene;village;Пазарджик;Pazardjik;57128;24.002615;42.503555;ПОИБРЕНЕПАНАГЮРИЩЕ
3323;KH8121;незаети площадки;Стрелча;Strelcha;Стрелча;град;Strelcha;town;Пазарджик;Pazardjik;69835;24.321545;42.503367;СТРЕЛЧАСТРЕЛЧА
3324;KH9121;незаети площадки;Хисаря;Hisarya;Старосел;село;Starosel;village;Пловдив;Plovdiv;69016;24.565273;42.487832;СТАРОСЕЛХИСАРЯ
3325;LH0141;незаети площадки;Хисаря;Hisarya;Мътеница;село;Matenitsa;village;Пловдив;Plovdiv;49624;24.613262;42.502253;МЪТЕНИЦАХИСАРЯ
3326;LH4191;незаети площадки;Павел баня;Pavel banya;Турия;село;Turia;village;СтараЗагора;StaraZagora;73451;25.183276;42.572416;ТУРИЯПАВЕЛБАНЯ
3327;LH7111;незаети площадки;Казанлък;Kazanlak;Розово;село;Rozovo;village;СтараЗагора;StaraZagora;62983;25.416037;42.565657;РОЗОВОКАЗАНЛЪК
3328;LH9141;незаети площадки;Николаево;Nikolaevo;Елхово;село;Elhovo;village;СтараЗагора;StaraZagora;48163;25.748014;42.575723;ЕЛХОВОНИКОЛАЕВО
3329;MH1131;незаети площадки;Нова Загора;Nova Zagora;Асеновец;село;Asenovets;village;Сливен;Sliven;713;25.95185;42.527843;АСЕНОВЕЦНОВАЗАГОРА
3330;MH2161;незаети площадки;Нова Загора;Nova Zagora;Научене;село;Nauchene;village;Сливен;Sliven;51161;26.08945;42.564772;НАУЧЕНЕНОВАЗАГОРА
3331;MH4131;незаети площадки;Сливен;Sliven;Глуфишево;село;Glufishevo;village;Сливен;Sliven;15206;26.319703;42.547144;ГЛУФИШЕВОСЛИВЕН
