type;la;bg
plants;Polygala amarella*;Горчива телчарка
plants;Polygala sibirica*;Сибирска телчарка
plants;Polypodium cambricum (= Polypodium australe)*;Камбрийска сладка папрат
plants;Potamogeton friesii*;Тъполистен ръждавец
plants;Potamogeton trichoides*;Влакновиден ръждавец
plants;Potentilla chrysantha*;Златноцветно прозорче
plants;Potentilla emili-popii*;Емилипопово прозорче
plants;Potentilla fruticosa*;Храстовидно прозорче
plants;Potentilla montenegrina*;Черногорско прозорче
plants;Potentilla nicicii*;Ничичово прозорче
plants;Potentilla palustris*;Мочурно прозорче
plants;Prangos ferulacea*;Ферулов прангос
plants;Primula deorum*;Рилска иглика
plants;Primula frondosa*;Старопланинска иглика
plants;Primula halleri*;Дългоцветна иглика
plants;Primula vulgaris susp. sibthorpii*;Сибторпиева иглика
plants;Pritzelago alpina subsp. brevicaulis (= Hutchinsia alpina)*;Алпийско притцелаго
plants;Pulsatilla halleri *;Халерово котенце
plants;Pulsatilla pratensis*;Полско котенце
plants;Pulsatilla slavjankae*;Славянско котенце
plants;Pulsatilla vernalis*;Пролетно котенце
plants;Pyrola rotundifolia*;Кръглолистна мурава
plants;Pyrus bulgarica*;Българска круша
plants;Quercus coccifera*;Пърнар
plants;Quercus mestensis*;Местенски дъб
plants;Quercus thracica*;Тракийски дъб
plants;Quercus trojana*;Троянски дъб
plants;Ramonda serbica*;Сръбска рамонда
plants;Ranunculus fontanus*;Кладенчево лютиче
plants;Ranunculus sphaerospermus*;Кълбосеменно лютиче
plants;Ranunculus stojanovii*;Стояново лютиче
plants;Reichardia picroides*;Горчивчева рейхардия
plants;Rhamnus alpina*;Алпийска зърника
plants;Rheum rhaponticum*;Рилски ревен
plants;Rhodiola rosea*;Розов златовръх
plants;Rhododendron myrtifolium*;Миртолистна зеленика
plants;Rhododendron ponticum*;Странджанска зеленика
plants;Rhynchocorys elephas*;Хоботниче
plants;Ribes nigrum*;Черно френско грозде
plants;Romulea bulbocodium*;Луковична пролетка
plants;Romulea linaresii subsp. graeca*;Гръцка пролетка
plants;Ruta graveolens*;Седефче
plants;Salix pentandra*;Петтичинкова върба
plants;Salix retusa*;Тъполистна върба
plants;Salix rosmarinifolia*;Розмаринолистна върба
plants;Salix xanticola*;Ксантийска върба
plants;Salvia forskaohlei*;Форскалева какула
plants;Salvia pinnata*;Переста какула
plants;Salvia scabiosifolia*;Кримска какула
plants;Salvinia natans*;Плаваща лейка
plants;Sambucus deborensis*;Дебърски бъз
plants;Saponaria stranjensis*;Странджанско сапунче
plants;Saussurea discolor*;Безцветна саусуреа
plants;Saxifraga aizoides*;Жълта каменоломка
plants;Saxifraga androsacea*;Оклопова каменоломка
plants;Saxifraga marginata*;Рохелова каменоломка
plants;Saxifraga mollis*;Азиатска каменоломка
plants;Saxifraga retusa*;Алпийска каменоломка
plants;Schivereckia doerfleri*;Дьорфлерова шиверекия
plants;Scilla bithynica*;Битински синчец
plants;Scilla bulgarica*;Български синчец
plants;Scorzonera parviflora*;Дребноцветен кокеш
plants;Sedum kostovi*;Костова тлъстига
plants;Sedum magellense*;Магеланска тлъстига
plants;Sedum stefco*;Стефчова тлъстига
plants;Sedum tschernokolevii*;Черноколева тлъстига
plants;Sedum zollikoferi*;Цоликоферова тлъстига
plants;Sempervivum ciliosum*;Четинест дебелец
plants;Senecio subalpinus*;Субалпийски спореж
plants;Serapias vomeraceae*;Палешников серапиас
plants;Serratula bulgarica*;Български сърпец
plants;Seseli bulgaricum*;Български порезник
plants;Seseli degenii*;Дегенов порезник
plants;Sibbaldia parviflora*;Дребноцветна сибалдия
plants;Sideritis syriaca (= Sideritis taurica)*;Кримски миризлив бурен
plants;Silene alpina*;Алпийско плюскавиче
plants;Silene caliacrae*;Калиакренско плюскавиче
plants;Silene cretica*;Критско плюскавиче
plants;Silene euxina*;Черноморско плюскавиче
plants;Silene graeca*;Гръцко плюскавиче
plants;Silene lydia*;Лидиево плюскавиче
plants;Silene velcevii*;Велчево плюскавиче
