type;la;bg
plants;Echinocystis lobata;Ехиноцистис
plants;Echinops banaticus;Банатски челядник
plants;Echinops microcephalus;Дребноглав челядник
plants;Echinops ritro;Бодлив челядник
plants;Echinops sphaerocephalus;Кръглоглав челядник
plants;Echium italicum;Италианско усойниче
plants;Echium plantagineum;Живовлеково усойниче
plants;Echium vulgare;Обикновено усойниче
plants;Elaeagnus angustifolia;Теснолистна миризлива върба
plants;Eleocharis acicularis;Иглеста блатница
plants;Eleocharis palustris;Обикновена блатница
plants;Eleocharis quinqueflora;Петцветна блатница
plants;Elodea canadensis;Канадска водна чума
plants;Elodea nuttallii;Нуталиева водна чума
plants;Elymus elongatus;Удължен пирей
plants;Elymus farctus;Бесарабски пирей
plants;Elymus repens;Обикновен пирей
plants;Elymus rhodopaeus;Родопски пирей
plants;Epilobium alsinifolium;Мишовколистна върбовка
plants;Epilobium anagallidifolium;Алпийска върбовка
plants;Epilobium hirsutum;Влакнеста върбовка
plants;Epilobium montanum;Планинска върбовка
plants;Epilobium palustre;Блатна върбовка
plants;Equisetum fluviatile;Речен хвощ
plants;Equisetum hiemale;Зимуващ хвощ
plants;Equisetum palustre;Блатен хвощ
plants;Equisetum ramosissimum;Разклонен хвощ
plants;Equisetum sylvaticum;Горски хвощ
plants;Equisetum telmateia;Голям хвощ
plants;Eragrostis minor;Дребна власица
plants;Erigeron alpinus;Алпийска злолетница
plants;Erigeron annuus;Бяла злолетница
plants;Eriophorum angustifolium;Теснолистна пушица
plants;Eriophorum gracile;Нежна пушица
plants;Eriophorum latifolium;Широколистна пушица
plants;Eriophorum vaginatum;Влагалищна пушица
plants;Erophila verna;Пролетна гладница
plants;Eryngium campestre;Полски ветрогон
plants;Erysimum cuspidatum;Островърха боянка
plants;Erysimum diffusum;Разклонена боянка
plants;Erysimum drenowskii;Дреновскиева боянка
plants;Erysimum odoratum;Благоуханна боянка
plants;Erythronium dens-canis;Кучешки зъб
plants;Euonymus europaeus;Европейски чашкодрян
plants;Euonymus latifolius;Широколистен чашкодрян
plants;Euonymus verrucosus;Брадавичест чашкодрян
plants;Eupatorium cannabinum;Див коноп
plants;Euphorbia amygdaloides;Горска млечка
plants;Euphorbia apios;Грудкова млечка
plants;Euphorbia barrelieri;Скална млечка
plants;Euphorbia chamaesice;Пълзяща млечка
plants;Euphorbia cyparissias;Обикновена млечка
plants;Euphorbia falcata;Сърполистна млечка
plants;Euphorbia myrsinites;Мирсинитска млечка
plants;Euphorbia nicaeensis;Чакълна млечка
plants;Euphorbia niciciana;Ничичева млечка
plants;Euphorbia palustris;Блатна млечка
plants;Euphorbia paralias;Приморска млечка
plants;Euphorbia polychroma;Многобагрена млечка
plants;Euphorbia seguierana;Сегиерова млечка
plants;Euphorbia serrulata;Миризлива млечка
plants;Euphorbia taurinensis;Гръцка млечка
plants;Euphrasia liburnica;Либурнийска очанка
plants;Euphrasia minima;Малка очанка
plants;Euphrasia salisburgensis;Салисбургска очанка
plants;Fagus orientalis;Източен бук
plants;Fagus sylvatica subsp. moesiaca;Мизийски бук
plants;Fagus sylvatica subsp. sylvatica;Обикновен бук
plants;Falcaria vulgaris;Обикновен сърпец
plants;Ferula heuffelii;Хьойфелова тимянка
plants;Ferulago sylvatica;Горска зимянка
plants;Festuca airoides;Бролова власатка
plants;Festuca amethystina subsp. kummeri;Аметистова власатка
plants;Festuca arenicola;Пясъчна власатка
plants;Festuca arundinacea;Тръстиковидна власатка
plants;Festuca balcanica;Старопланинска власатка
plants;Festuca dalmatica;Далматинска власатка
plants;Festuca drymeja;Горска власатка
plants;Festuca heterophylla;Разнолистна власатка
plants;Festuca hirtovaginata;Влакнестовлагалищна власатка
plants;Festuca nigrescens;Черна власатка
plants;Festuca paniculata;Ръждива власатка
plants;Festuca penzesii;Бодлива власатка
plants;Festuca picta;Шарена власатка
plants;Festuca pirinensis;Пиринска власатка
plants;Festuca pirinica;Малка пиринска власатка
plants;Festuca pratensis;Ливадна власатка
plants;Festuca pseudodalmatica;Лъжливодалматинска власатка
plants;Festuca pseudovina;Лъжлива овча власатка
plants;Festuca riloensis;Рилска власатка
plants;Festuca rubra;Червена власатка
plants;Festuca rupicola;Козя власатка
plants;Festuca stojanovii;Стоянова власатка
plants;Festuca thracica;Тракийска власатка
plants;Festuca valesiaca;Валезийска власатка
plants;Festuca valida;Мощна власатка
plants;Festuca xanthina;Златиста власатка
plants;Festucopsis sancta;Фестукопсис
plants;Fibigia clypeata;Фибигия
plants;Ficaria verna (= Ranunculus ficaria);Пролетно жълтурче
plants;Ficus carica;Смокиня
plants;Filago eriocephala;Родопска свещица
plants;Filago lutescens;Блестяща свещица
plants;Filago vulgaris;Обикновена свещица
plants;Filipendula ulmaria;Брястолистно орехче
plants;Filipendula vulgaris;Ливадно орехче
plants;Fragaria moschata;Суница
plants;Fragaria vesca;Горска ягода
plants;Fragaria viridis;Планица
plants;Frangula alnus;Елшовиден зърнастец
plants;Frangula rupestris;Скален зърнастец
plants;Fraxinus excelsior;Планински ясен
plants;Fraxinus ornus;Мъждрян
plants;Fraxinus oxycarpa;Полски ясен
plants;Fraxinus pallisiae;Пализиев ясен
plants;Fumana arabica;Арабска фумана
plants;Fumana procumbens;Полегнала фумана
plants;Gagea lutea;Обикновен гарвански лук
plants;Gagea minima;Малък гарвански лук
plants;Gagea saxatilis;Скален гарвански лук
plants;Galega officinalis;Лечебен жаблек
plants;Galeopsis speciosa;Красива бударица
plants;Galiliea mucronata;Островърха галилея
plants;Galium album;Бяло еньовче
plants;Galium anisophyllon;Разнолистно еньовче
plants;Galium aparine;Лепка
plants;Galium boreale;Северно еньовче
plants;Galium bulgaricum;Българско еньовче
plants;Galium debile;Полегнало еньовче
plants;Galium flavescens;Жълтеникаво еньовче
plants;Galium heldreichii;Хелдрейхово еньовче
plants;Galium lucidum;Лъскаво еньовче
plants;Galium macedonicum;Струмско еньовче
plants;Galium mirum;Необикновено еньовче
plants;Galium mollugo;Меко еньовче
plants;Galium octonarium;Източно еньовче
plants;Galium odoratum;Ароматно еньовче
plants;Galium palustre;Блатно еньовче
plants;Galium parisiense;Парижко еньовче
plants;Galium pseudaristatum;Лъжливоосилесто еньовче
plants;Galium rhodopeum;Родопско еньовче
plants;Galium rivale;Ручейно еньовче
plants;Galium rotundifolium;Кръглолистно еньовче
plants;Galium scabrifolium;Грапаволистно еньовче
plants;Galium velenovskyi;Веленовскиево еньовче
plants;Galium verum;Истинско еньовче
plants;Gastridium ventricosum;Издут гастридиум
plants;Genista anatolica;Азиатска жълтуга
plants;Genista carinalis;Балканска жълтуга
plants;Genista depressa;Ниска жълтуга
plants;Genista januensis;Триръба жълтуга
plants;Genista lydia;Теснолистна жълтуга
plants;Genista rumelica;Румелийска жълтуга
plants;Genista sessilifolia subsp. trifoliata;Трилистна жълтуга
plants;Genista subcapitata;Главеста жълтуга
plants;Genista tinctoria;Висока жълтуга
plants;Gentiana asclepiadea;Горска тинтява
plants;Gentiana pneumonanthe;Блатна тинтява
plants;Gentiana utriculosa;Подута тинтява
plants;Gentiana verna;Пролетна тинтява
plants;Gentianella bulgarica;Българска горчивка
plants;Gentianella ciliata;Ресничеста горчивка
plants;Geranium dissectum;Насеченолистен здравец
plants;Geranium lucidum;Блестящ здравец
plants;Geranium macrorrhizum;Обикновен здравец
plants;Geranium phaeum;Кафяв здравец
plants;Geranium pratense;Ливаден здравец
plants;Geranium pyrenaicum;Пиренейски здравец
plants;Geranium robertianum;Зловонен здравец
plants;Geranium rotundifolium;Кръглолистен здравец
plants;Geranium sanguineum;Кървав здравец
plants;Geranium sylvaticum;Горски здравец
plants;Geum coccineum;Червено омайниче
plants;Geum montanum;Планинско омайниче
plants;Geum reptans;Пълзящо омайниче
plants;Geum rivale;Ручейно омайниче
plants;Geum urbanum;Градско омайниче
plants;Gladiolus communis;Обикновен гладиолус, обикновено петльово перо
plants;Glaucium flavum;Жълта папаронка
plants;Glechoma hederacea;Бръшлянова самобайка
plants;Glechoma hirsuta;Влакнеста самобайка
plants;Gleditsia triacanthos;Гледичия
plants;Glinus lotoides;Глинус
plants;Globularia aphyllanthes;Обикновено гологлавче
plants;Globularia cordifolia;Сърцевидно гологлавче
plants;Glyceria aquatica;Водна росица
plants;Glyceria fluitans;Речна росица
plants;Glyceria plicata;Сдиплена росица
plants;Glycyrrhiza echinata;Бодливоплоден сладник
plants;Gnaphalium luteo-album;Жълт бял смил
plants;Gnaphalium supinum (= Omalotheca supina);Полегнал бял смил
plants;Gnaphalium uliginosum;Благолюбив бял смил
plants;Gratiola officinalis;Лечебна сиротица
plants;Gymnadenia conopsea;Дългорога гимнадения
plants;Gymnocarpium robertianum;Варовит гимнокарпиум
plants;Gypsophila glomerata;Сбита мишорка
plants;Hainardia cylindrica;Цилиндрична хайнардия
plants;Haplophyllum suaveolens;Ароматен целолист
plants;Hedera helix;Бръшлян
plants;Hedysarum grandiflorum subsp. bulgaricum;Жълт хедизарум
plants;Hedysarum tauricum;Черен хедизарум
plants;Helianthemum nummularium;Обикновен жълтак
plants;Helianthemum salicifolium;Върболистен жълтак
plants;Helichrysum arenarium;Пясъчен жълт смил
plants;Heliotropium europaeum;Обикновена подсунка
plants;Heliotropium supinum;Пълзяща подсунка
plants;Helleborus odorus;Миризлив кукуряк
plants;Hepatica nobilis;Гълъбови очички
plants;Heptaptera triquetra;Триръбеста хептаптера
plants;Heracleum angustisectum;Пирински девесил
plants;Heracleum sibiricum;Сибирски девесил
plants;Heracleum ternatum;Триделен девесил
plants;Heracleum verticillatum;Мъхнат девесил
plants;Hesperis tristis;Тъжно вечерниче
plants;Hieracium alpicola;Алпийска рунянка
plants;Hieracium hoppeanum;Същинска рунянка
plants;Hieracium murorum gr.;Стенна рунянка
plants;Hieracium pannosum;Перестовлакнеста рунянка
plants;Hieracium pilosella;Солешникова рунянка
plants;Hieracium praealtum;Висока рунянка
plants;Hieracium racemosum;Горска рунянка
plants;Hieracium sabaudum gr.;Сабаудова рунянка
plants;Hieracium stefanoffii;Стефанова рунянка
plants;Hieracium vulgatum gr.;Обикновена рунянка
plants;Hippocrepis ciliata;Ресничеста конска подкова
plants;Hippocrepis comosa;Обикновена конска подкова
plants;Hippocrepis unisiliquosa;Едноцветна конска подкова
plants;Holcus lanatus;Вълнеста медовица
plants;Holcus mollis;Мека медовица
plants;Holoschoenus vulgaris;Обикновен холосхьонус
plants;Holosteum umbellatum;Сенникова висларка
plants;Homogyne alpina;Алпийско подбелниче
plants;Hordelymus europaeus;Горски ечемик
plants;Hordeum bulbosum;Луковичен ечемик
plants;Hordeum hystrix;Коленчат ечемик
plants;Hordeum murinum;Крайморски ечемик
plants;Hordeum secalinum;Ръжевиден ечемик
plants;Hornungia petraea;Скална хорнунгия
plants;Huetia cynapioides;Обикновена хуеция
plants;Humulus lupulus;Обикновен хмел
plants;Huperzia selago;Иглолистна хуперция
plants;Hyacinthella leucophaea;Див зюмбюл
plants;Hydrocharis morsus-ranae;Жабешка водянка
plants;Hymenocarpus circinatus;Хименокарпус
plants;Hypecoum ponticum;Черноморски хипекоум
plants;Hypericum cerastoides;Рожецовидна звъника
plants;Hypericum degenii;Дегенова звъника
plants;Hypericum maculatum;Петниста звъника
plants;Hypericum montbretii;Монтбретова звъника
plants;Hypericum olympicum;Олимпийска звъника
plants;Hypericum perforatum;Лечебна звъника, жълт кантарион
plants;Hypericum richeri;Рихерова звъника
plants;Hypericum rumeliacum;Румелийска звъника
plants;Hypericum tetrapterum;Четирикрила звъника
plants;Hypericum umbellatum;Сенниковидна звъника
plants;Hypochoeris cretensis;Критски свиняк
plants;Hypochoeris glabra;Гол свиняк
plants;Hypochoeris maculata;Петнист свиняк
plants;Hyssopus officinalis;Лечебен исоп
plants;Iberis sempervirens;Вечнозелен иберис
plants;Impatiens noli-tangere;Горска слабонога
plants;Inula aschersoniana;Ашерсонов оман
plants;Inula britannica;Британски оман
plants;Inula ensifolia;Мечолистен оман
plants;Inula helenium;Бял оман
plants;Inula hirta;Космат оман
plants;Inula oculus-christi;Божи оман
plants;Inula salicina;Върболистен оман
plants;Iris pseudacorus;Блатна перуника
plants;Iris pumila;Дребна перуника
plants;Iris reichenbachii;Райхенбахова перуника
plants;Iris sibirica;Сибирска перуника
plants;Iris sintenisii;Синтенисова перуника
plants;Iris suaveolens;Миризлива перуника
plants;Iris variegata;Пъстра перуника
plants;Isopyrum thalictroides;Кокошка
plants;Jasione heldreichii;Хелдрейхово вятърче
plants;Jasione laevis subsp. orbiculata;Високопланинско вятърче
plants;Jasminum fruticans;Храстовиден смин
plants;Jovibarba heuffelii;Хойфелиев нежит
plants;Juglans regia;Обикновен орех
plants;Juncellus serotinus (= Cyperus serotinus);Късен юнцелус
plants;Juncus acutiflorus;Остроцветна дзука
plants;Juncus alpinus;Алпийска дзука
plants;Juncus articulatus;Членеста дзука
plants;Juncus compressus;Сплескана дзука
plants;Juncus conglomeratus;Сбита дзука
plants;Juncus effusus;Разперена дзука
plants;Juncus filiformis;Нишковидна дзука
plants;Juncus gerardii;Жерардова дзука
plants;Juncus inflexus;Сивозелена дзука
plants;Juncus littoralis;Крайбрежна дзука
plants;Juncus maritimus;Морска дзука
plants;Juncus thomasii;Томасов дзука
plants;Juncus trifidus;Триделна дзука
plants;Juniperus communis;Обикновена хвойна
plants;Juniperus oxycedrus;Червена хвойна
plants;Juniperus pygmaea;Дребна хвойна
plants;Juniperus sibirica;Сибирска хвойна
plants;Jurinea albicaulis subsp. Kilaea;Белостъблен миск
plants;Jurinea glycacantha;Сладникав миск
plants;Jurinea mollis;Мековлакнест миск
plants;Jurinea stoechadifolia;Лавандолистен миск
plants;Kernera saxatilis;Кернера
plants;Knautia arvensis;Полско червеноглавче
plants;Knautia drymeia;Горско червеноглавче
plants;Knautia midzorensis;Миджурско червеноглавче
plants;Kobresia myosuroides;Кобрезия
plants;Kochia prostrata;Полегнала метла
plants;Koeleria brevis;Къс тънконог
plants;Koeleria eriostachya;Пухестоклас тънконог
plants;Koeleria macrantha;Едроцветен тънконог
plants;Koeleria nitidula;Лъскав тънконог
plants;Koeleria simonkaii;Шимонкаев тънконог
plants;Koeleria splendens;Блестящ тънконог
plants;Lactuca quercina;Дъбова салата
plants;Lactuca saligna;Соленолюбива салата
plants;Lagoecia cuminoides;Кимионолистна лагеция
plants;Lagurus ovatus;Яйцевиден лагурус
plants;Lamiastrum galeobdolon;Жълта мъртва коприва
plants;Lamium garganicum;Гарганска мъртва коприва
plants;Lamium maculatum;Петниста мъртва коприва
plants;Lappula marginata;Крилатоподобни ушици
plants;Lapsana communis;Обикновен сгърбун
plants;Laser trilobum;Триделно загърличе
plants;Laserpitium latifolium;Широколистен срамник
plants;Laserpitium siler;Планински срамник
plants;Lathyrus alpestris;Алпийско секирче
plants;Lathyrus aphaca;Жълто секирче
plants;Lathyrus aureus;Златисто секирче
plants;Lathyrus grandiflorus;Едроцветно секирче
plants;Lathyrus hirsutus;Влакнесто секирче
plants;Lathyrus latifolius;Широколистно секирче
plants;Lathyrus laxiflorus;Рехавоцветно секирче
plants;Lathyrus linifolius;Планинско секирче
plants;Lathyrus niger;Черно секирче
plants;Lathyrus palustris;Блатно секирче
plants;Lathyrus pancicii;Панчичово секирче
plants;Lathyrus pannonicus;Панонско секирче
plants;Lathyrus pratensis;Ливадно секирче
plants;Lathyrus saxatilis;Скално секирче
plants;Lathyrus sphaericus;Плевелно секирче
plants;Lathyrus sylvestris;Горско секирче
plants;Lathyrus tuberosus;Грудково секирче
plants;Lathyrus venetus;Синьо секирче
plants;Laurocerasus officinalis;Лечебна лавровишня
plants;Leersia oryzoides;Оризов троскот
plants;Legousia pentagonia;Петоъгълно орниче
plants;Lembotropis nigricans;Лемботропис
plants;Lemna gibba;Гърбава водна леща
plants;Lemna minor;Малка водна леща
plants;Lemna trisulca;Триделна водна леща
plants;Lens ervoides;Южна леща
plants;Lens nigricans;Черна леща
plants;Leontodon autumnalis;Есенна жълтица
plants;Leontodon crispus;Гребенеста жълтица
plants;Leontodon hyspidus;Четинеста жълтица
plants;Leontodon rilaensis;Рилска жълтица
plants;Leonurus cardiaca;Сърдечна дяволска уста
plants;Lepidium perfoliatum;Прободенолистна горуха
plants;Lepidium ruderale;Буренна горуха
plants;Lepidotrichum uechtritziаnum (= Aurinia uechtritziana);Лепидотрихум
plants;Leucanthemum vulgare;Обикновена маргаритка
plants;Leucojum aestivum;Блатно кокиче
plants;Leymus racemosus subsp. sabulosus;Пясъчен леимус
plants;Ligusticum mutellina;Планински див магданоз
plants;Ligustrum vulgare;Обикновено птиче грозде
plants;Lilium martagon;Петров кръст
plants;Linaria genistifolia;Жълтуголистна луличка
plants;Linaria pelisseriana;Лилава луличка
plants;Linaria simplex;Проста луличка
plants;Lindernia dubia;Съмнителна линдерния
plants;Linum austriacum;Австрийски лен
plants;Linum capitatum;Главест лен
plants;Linum catharticum;Слабитален лен
plants;Linum corymbulosum;Щитовиден лен
plants;Linum tauricum;Кримски лен
plants;Linum tenuifolium;Тънколистен лен
plants;Linum tryginum;Френски лен
plants;Listera ovata;Овален тайник
plants;Logfia arvensis;Полска логфия
plants;Logfia gallica;Френска логфия
plants;Logfia minima;Малка логфия
plants;Lolium perenne;Английски райграс
plants;Lolium rigidum;Твърда глушина
plants;Lonicera coerulea;Гълъбов нокът
plants;Lonicera etrusca;Етруски нокът
plants;Lonicera nigra;Черен нокът
plants;Lonicera xylosteum;Мъхнат нокът
plants;Loranthus europaeus;Европейски черен имел
plants;Lotus aegaeus;Егейски звездан
plants;Lotus angustissimus;Дребен звездан
plants;Lotus corniculatus;Обикновен звездан
plants;Lotus tenuis;Теснолистен звездан
plants;Lunaria rediviva;Многогодишна лопатка
plants;Luzula alpinopilosa;Веленовскиева светлика
plants;Luzula campestris;Полска светлика
plants;Luzula forsteri;Форстерова светлика
plants;Luzula glabrata subsp. deflexa;Разперена светлика
plants;Luzula italica;Италианска светлика
plants;Luzula luzuloides;Храсталачна светлика
plants;Luzula multiflora;Многоцветна светлика
plants;Luzula pindica;Пиндска светлика
plants;Luzula spadicea;Кестенява светлика
plants;Luzula sudetica;Судетска светлика
plants;Luzula sylvatica;Горска светлика
plants;Lychnis coronaria;Кървавиче
plants;Lychnis flos-cuculi;Пурпурна свиларка
plants;Lycopodium clavatum;Бухалковиден плаун
plants;Lycopus europaeus;Европейска катушка
plants;Lycopus exaltatus;Висока катушка
plants;Lysimachia nummularia;Кръглолистно ленивче
plants;Lysimachia vulgaris;Обикновено ленивче
plants;Lysimachiа punctata;Точковато ленивче
plants;Lythrum hyssopifolia;Исополистна блатия
plants;Lythrum salicaria;Обикновена блатия
plants;Lythrum virgatum;Пръстена блатия
plants;Malus sylvestris;Киселица
plants;Marrubium frivaldskyanum;Фривалдскиев пчелинок
plants;Marrubium peregrinum;Сусерка
plants;Matricaria trichophylla;Тънколистна лайкучка
plants;Matthiola fruticulosa;Полухрастовидна матиола
plants;Medicago arabica;Арабска люцерна
plants;Medicago carstiensis;Карстова люцерна
plants;Medicago constricta;Кълбоплодна люцерна
plants;Medicago coronata;Короноплодна люцерна
plants;Medicago disciformis;Дисковидна люцерна
plants;Medicago falcata;Сърповидна люцерна
plants;Medicago lupulina;Хмелна люцерна
plants;Medicago marina;Крайморска люцерна
plants;Medicago minima;Дребноплодна люцерна
plants;Medicago orbicularis;Полска люцерна
plants;Medicago polymorpha;Изменчива люцерна
plants;Medicago rhodopea;Родопска люцерна
plants;Medicago rigidula;Твърда люцерна
plants;Melampyrum sylvaticum;Горска гайтанка
plants;Melica ciliata;Ресничеста бисерка
plants;Melica picta;Пъстра бисерка
plants;Melica transsilvanica;Трансилванска бисерка
plants;Melica uniflora;Едноцветна бисерка
plants;Melilotus officinalis;Лечебна комунига
plants;Melissa officinalis;Лечебна маточина
plants;Melittis melissophyllum;Маточинолистна кошутина
plants;Mentha aquatica;Водна мента
plants;Mentha longifolia;Дълголистна мента
plants;Mentha pulegium;Блатна мента
plants;Mentha spicata;Джоджен, обикновена мента
plants;Mentha suaveolens;Кръглолистна мента
plants;Mercurialis ovata;Кръглолистен пролез
plants;Mercurialis perennis;Многогодишен пролез
plants;Merendera attica;Атинска мерендера
plants;Mespilus germanica;Мушмула
plants;Meum athamanticum;Старопланински див копър
plants;Micromeria cristata;Гребенеста микромерия
plants;Micromeria dalmatica;Далматинска микромерия
plants;Micropyrum tenellum;Тънък микропирум
plants;Milium effusum;Клонесто горско просо
plants;Minuartia bulgarica;Българска мишовка
plants;Minuartia caespitosa;Туфеста мишовка
plants;Minuartia glomerata;Главеста мишовка
plants;Minuartia hirsuta;Твърдовлакнеста мишовка
plants;Minuartia hybrida;Хибридна мишовка
plants;Minuartia recurva;Алпийска мишовка
plants;Minuartia rhodopaea;Родопска мишовка
plants;Minuartia saxifraga;Широколистна мишовка
plants;Minuartia setacea;Четинолистна мишовка
plants;Minuartia verna;Пролетна мишовка
plants;Minuartia viscosa;Лепкава мишовка
plants;Moehringia grisebachii;Гризебахова кутявка
plants;Moehringia pendula;Увиснала кутявка
plants;Moehringia trinervia;Трижилкова кутявка
plants;Moenchia erecta;Изправена поревка
plants;Moenchia graeca;Гръцка поревка
plants;Moenchia mantica;Обикновена поревка
plants;Molinia caerulea;Синкава молиния
plants;Moneses uniflora;Едноцветен монезес
plants;Montia fontana;Изворна монция
plants;Morus alba;Бяла черница
plants;Muscari botryoides;Горско кукувиче грозде
plants;Muscari neglectum;Пренебрегнато кукувиче грозде
plants;Muscari tenuiflorum;Тесноцветно кукувиче грозде
plants;Mycelis muralis;Стенна салата
plants;Myosotis alpestris;Алпийска незабравка
plants;Myosotis ramosissima;Разклонена незабравка
plants;Myosotis scorpioides;Блатна незабравка
plants;Myosotis suaveolens;Балканска незабравка
plants;Myosotis sylvatica;Горскa незабравка
plants;Myosoton aquaticum;Водна мокрица
plants;Myosurus minimus;Малка миша опашка
plants;Myriophyllum spicatum;Класовиден многолистник
plants;Myriophyllum verticillatum;Прешленолистен многолистник
plants;Myrrhoides nodosa;Мироидес
plants;Mоehringia jankae;Янкева кутявка
plants;Najas marina;Морска русалка
plants;Najas minor;Малка русалка
plants;Nardus stricta;Картъл
plants;Nasturtium officinale;Лечебна поточарка
plants;Neatostema apulum;Неатостема
plants;Nectaroscordum siculum (= Allium siculum);Сицилийска самардала
plants;Neottia nidus-avis;Истинска гнездовка
plants;Nepeta cataria;Обикновена коча билка
plants;Nepeta nuda;Гола коча билка
plants;Nigella arvensis;Полска челебитка
plants;Nigella damascena;Дамаска челебитка
plants;Nonea pulla;Тъмно шекерче
plants;Notholaena maranthae (= Cheilanthes maranthae);Морантова лъжепокривница
plants;Odontites verna;Пролетно зъбарче
plants;Oenanthe angulosa;Ръбестостъблен воден морач
plants;Oenanthe aquatica;Същински воден морач
plants;Oenanthe banatica;Банатски воден морач
plants;Oenanthe fistulosa;Кухолистен воден морач
plants;Oenanthe lachenalii;Разделнолистен воден морач
plants;Oenanthe silaifolia;Обикновен воден морач
plants;Onobrychis alba;Бяла еспарзета
plants;Onobrychis caput-galli;Шлемовидна еспарзета
plants;Onobrychis degenii;Дегенова еспарзета
plants;Onobrychis lasiostachya;Влакнестокласа еспарзета
plants;Onobrychis montana subsp. scardica;Планинска еспарзета
plants;Onobrychis pindicola subsp. urumovii;Пиндска еспарзета
plants;Ononis adenotricha;Жлезист гръмотрън
plants;Ononis arvensis;Обикновен гръмотрън
plants;Ononis pusilla;Дребен гръмотрън
plants;Ononis reclinata;Южен гръмотрън
plants;Ononis spinosa;Бодлив гръмотрън
plants;Onosma echioides;Усойничево омразниче
plants;Onosma thracica;Тракийско омразниче
plants;Onosma visianii;Визианиево омразниче
plants;Ophioglossum vulgatum;Oбикновен змийски език
plants;Ophrys cornuta;Двурого бръмбарче, пчелица
plants;Ophrys sphegodes;Паяковидно бръмбарче, пчелица
plants;Opopanax hispidus;Космат опопанакс
plants;Opuntia vulgaris;Опунция
plants;Orchis coriophora;Дървеницов салеп
plants;Orchis mascula;Мъжки салеп
plants;Orchis morio;Обикновен салеп
plants;Orchis pallens;Бледен салеп
plants;Orchis purpurea;Пурпурен салеп
plants;Orchis simia;Маймунски салеп
plants;Orchis tridentata;Тризъбест салеп
plants;Orchis ustulata;Опърлен салеп
plants;Origanum vulgare;Риган
plants;Orlaya grandiflora;Едроцветно срамливче
plants;Ornithogalum oreoides;Сив гарвански лук
plants;Ornithogalum pyrenaicum;Пиренейски гарвански лук
plants;Ornithogalum refractum;Пречупен гарвански лук
plants;Ornithogalum sphaerocarpum;Кълбоплоден гарвански лук
plants;Ornithopus compressus;Сплеснат птичокрак
plants;Orthilia secunda;Едностранно наваличе
plants;Ostrya carpinifolia;Воден габър
plants;Osyris alba;Бял озирис
plants;Oxalis acetosella;Обикновено киселиче
plants;Oxyria digyna;Обикновен киселичник
plants;Oxytropis campestris;Полски окситропис
plants;Oxytropis urumovii;Урумов окситропис
plants;Paeonia peregrina;Червен (красив) божур
plants;Paliurus spina-christi;Драка
plants;Papaver rumelicum;Български мак
plants;Parapholis incurva;Подвит парафолис
plants;Parentucellia latifolia;Широколистна парентуцелия
plants;Parietaria erecta (= Parietaria officinalis);Лековита разваленка
plants;Parietaria lusitanica;Лузитанска разваленка
plants;Paris quadrifolia;Четирилистно вранско око
plants;Parnassia palustris;Блатна росица
plants;Paronychia cephalotes;Главеста паронихия
plants;Paronychia kapela;Сребриста паронихия
plants;Pastinaca hirsuta;Планински пащърнак
plants;Pastinaca sativa;Градински пащърнак
plants;Pastinaca umbrosa;Сенколюбив пащърнак
plants;Pedicularis oederi;Едерево пропадниче
plants;Pedicularis orthantha;Правоцветно пропадниче
plants;Pedicularis verticillata;Прешленесто пропадниче
plants;Peganum harmala;Обикновен зърнеш
plants;Periploca graeca;Гръцки гърбач
plants;Persicaria amphibia;Земноводно пипериче
plants;Persicaria hydropiper;Водно пипериче
plants;Persicaria lapathifolia;Лапатолистно пипериче
plants;Persicaria mitis;Нежно пипериче
plants;Petasites albus;Бяла чобанка
plants;Petasites hybridus;Хибридна чобанка
plants;Petrorhagia illyrica;Илирийска мантийка
plants;Petrorhagia prolifera;Обикновена мантийка
plants;Petrorhagia saxifraga;Каменоломкова мантийка
plants;Petrorhagia velutina;Кадифена мантийка
plants;Peucedanum alsaticum;Елзаска самодивска трева
plants;Peucedanum arenarium;Пясъчна самодивска трева
plants;Peucedanum austriacum;Австрийска самодивска трева
plants;Peucedanum carvifolia;Кимионолистна самодивска трева
plants;Peucedanum cervaria;Еленова самодивска трева
plants;Phacelurus digitatus (= Rottboellia digitata);Длановиден фацелурус
plants;Phalaris arundinacea;Разклонена тръстичина
plants;Phegopteris connectilis;Буков фегоптерис
plants;Phillyrea latifolia;Грипа
plants;Phleum alpinum;Алпийска тимотейка
plants;Phleum graecum;Гръцка тимотейка
plants;Phleum montanum;Планинска тимотейка
plants;Phleum phleoides;Степна тимотейка
plants;Phleum pratense;Ливадна тимотейка
plants;Phleum subulatum;Тънкокласа тимотейка
plants;Phlomis hebra-venti;Бодлива руница
plants;Phlomis tuberosa;Грудеста руница
plants;Pholiurus pannonicus;Панонски фолиурус
plants;Phragmites australis;Тръстика
plants;Phyllitis scolopendrium;Обикновен волски език
plants;Physalis alkekengi;Мехунка
plants;Physospermum cornubiense;Физоспермум
plants;Phyteuma confusum;Смесен дъгоцвет
plants;Picea abies;Обикновен смърч
plants;Picris hieracioides;Рунянковидно горчивче
plants;Pimpinella peregrina;Южен анасон
plants;Pimpinella saxifraga;Каменоломков анасон
plants;Pimpinella tragium;Кози анасон
plants;Pinguicula balcanica;Балканска петлюга
plants;Pinus heldreichii;Черна мура
plants;Pinus maritima;Морски бор
plants;Pinus mugo;Клек
plants;Pinus nigra;Черен бор
