id;type;la;bg;en
2596;herptiles;Triturus macedonicus;Македонски гребенест тритон;Balkan Crested Newt
2597;mammals;Dryomys nitedula;Горски сънливец;Forest Dormouse
2598;mammals;Canis lupus;Вълк;Wolf
2599;mammals;Rhinolophus hipposideros;Малък подковонос;Lesser Horseshoe Bat
2600;mammals;Pipistrellus kuhlii;Средиземноморско прилепче;Kuhl's Pipistrelle
2601;mammals;Talpa levantis;Черноморска къртица;Levantine Mole
2602;mammals;Nyctereutes procenoides;Енотовидно куче;Raccoon Dog
2603;mammals;Myotis myotis;Голям нощник;Greater Mouse-eared Bat
2604;mammals;Pipistrellus pygmaeus;Малко кафяво прилепче;Soprano Pipistrelle
2605;mammals;Sylvaemus sp.;Неопределени горски мишки;Unidentified Wood Mouse
2606;mammals;Mus sp.;Неопределени домашни мишки;Unidentified House Mouse
2607;mammals;Crocidura sp.;Неопределена белозъбка;Unidentified White-toothed Shrew
2608;herptiles;Rana arvalis;;Moor Frog
2609;herptiles;Iberolacerta horvathi;;Horvath's Rock Lizard
2610;herptiles;Lacerta bilineata;;Western Green Lizard
2611;herptiles;Epidalea calamita;;Natterjack Toad
