OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
4731;МалкоТърново;MalkoTarnovo;Стоилово;село;Stoilovo;village;Бургас;Burgas;69328;27.51819;42.038876;СТОИЛОВОМАЛКОТЪРНОВО
4746;Царево;Tzarevo;Изгрев;село;Izgrev;village;Бургас;Burgas;32514;27.802427;42.145773;ИЗГРЕВЦАРЕВО
4748;Царево;Tzarevo;Лозенец;село;Lozenets;village;Бургас;Burgas;44094;27.806211;42.20869;ЛОЗЕНЕЦЦАРЕВО
4755;Харманли;Harmanli;Богомил;село;Bogomil;village;Хасково;Haskovo;4724;26.024023;41.989966;БОГОМИЛХАРМАНЛИ
4759;Харманли;Harmanli;Изворово;село;Izvorovo;village;Хасково;Haskovo;32487;26.140854;41.963022;ИЗВОРОВОХАРМАНЛИ
4769;Свиленград;Svilengrad;Димитровче;село;Dimitrovche;village;Хасково;Haskovo;21078;26.253182;41.812842;ДИМИТРОВЧЕСВИЛЕНГРАД
4777;Свиленград;Svilengrad;Лисово;село;Lisovo;village;Хасково;Haskovo;43877;26.315234;41.941721;ЛИСОВОСВИЛЕНГРАД
4781;Свиленград;Svilengrad;Левка;село;Levka;village;Хасково;Haskovo;43205;26.267598;41.866947;ЛЕВКАСВИЛЕНГРАД
4783;Свиленград;Svilengrad;Равнагора;село;Ravnagora;village;Хасково;Haskovo;61131;26.344799;41.868224;РАВНАГОРАСВИЛЕНГРАД
4785;Свиленград;Svilengrad;Сладун;село;Sladun;village;Хасково;Haskovo;67146;26.458626;41.852034;СЛАДУНСВИЛЕНГРАД
4786;Свиленград;Svilengrad;Щит;село;Shtit;village;Хасково;Haskovo;84036;26.363659;41.826195;ЩИТСВИЛЕНГРАД
4787;Свиленград;Svilengrad;Пашово;село;Pashovo;village;Хасково;Haskovo;55645;26.37701;41.826888;ПАШОВОСВИЛЕНГРАД
