IME;UTMname;UTMfullNam;Index_1km;UTMNameFul;Status;X_1;Y_1;X_2;Y_2;X_3;Y_3;X_4;Y_4
27;FM;FM27;67;FM2767;незаети площадки;22.5393635;42.24386539;22.53914464;42.23486235;22.52702958;42.23502432;22.52724671;42.2440274
27;FM;FM27;72;FM2772;незаети площадки;22.55037829;42.19868703;22.55015821;42.18968397;22.53805184;42.18984696;22.5382702;42.19885007
27;FM;FM27;73;FM2773;незаети площадки;22.55059846;42.20769007;22.55037829;42.19868703;22.5382702;42.19885007;22.53848866;42.20785316
27;FM;FM27;94;FM2794;незаети площадки;22.57504148;42.21636298;22.57481776;42.20736006;22.56270816;42.2075257;22.56293016;42.21652868
28;FM;FM28;5;FM2805;незаети площадки;22.46833303;42.31684441;22.46812373;42.3078412;22.45599429;42.30799587;22.45620186;42.31699914
28;FM;FM28;48;FM2848;незаети площадки;22.51750594;42.34322163;22.51728943;42.33421867;22.5051552;42.33437862;22.50536997;42.34338164
28;FM;FM28;52;FM2852;незаети площадки;22.5283339;42.2890426;22.52811626;42.28003959;22.51599249;42.28020053;22.5162084;42.28920359
28;FM;FM28;83;FM2883;незаети площадки;22.5649327;42.29755479;22.56470979;42.28855195;22.55258459;42.28871678;22.55280578;42.29771967
28;FM;FM28;95;FM2895;незаети площадки;22.57750911;42.31539416;22.57728427;42.3063914;22.56515572;42.30655762;22.56537884;42.31556043
29;FM;FM29;20;FM2920;незаети площадки;22.49366029;42.36154646;22.49344705;42.35254342;22.48130916;42.35270091;22.48152067;42.361704
29;FM;FM29;67;FM2967;незаети площадки;22.54376178;42.4239229;22.54354091;42.41492017;22.53139128;42.41508315;22.53161041;42.42408593
29;FM;FM29;74;FM2974;незаети площадки;22.55524553;42.39675049;22.55502322;42.38774777;22.5428789;42.38791188;22.54309947;42.39691466
29;FM;FM29;76;FM2976;незаети площадки;22.55569044;42.4147559;22.55546793;42.4057532;22.54332014;42.40591742;22.54354091;42.41492017
35;FM;FM35;79;FM3579;незаети площадки;22.66837773;42.07995237;22.66814189;42.07094964;22.65605881;42.07112468;22.65629294;42.08012746
35;FM;FM35;89;FM3589;незаети площадки;22.68046241;42.079776;22.68022486;42.07077333;22.66814189;42.07094964;22.66837773;42.07995237
35;FM;FM35;99;FM3599;незаети площадки;22.69254698;42.07959836;22.69230773;42.07059574;22.68022486;42.07077333;22.68046241;42.079776
36;FM;FM36;7;FM3607;незаети площадки;22.58557682;42.15317558;22.58535211;42.1441726;22.57325462;42.14433916;22.57347762;42.15334219
36;FM;FM36;14;FM3614;незаети площадки;22.59699696;42.12599887;22.59677084;42.1169959;22.58467859;42.11716358;22.58490299;42.1261666
36;FM;FM36;18;FM3618;незаети площадки;22.59790245;42.16201061;22.59767592;42.1530077;22.58557682;42.15317558;22.58580164;42.16217854
36;FM;FM36;33;FM3633;незаети площадки;22.62095504;42.11665673;22.6207256;42.10765385;22.60863527;42.10782402;22.60886299;42.11682695
36;FM;FM36;56;FM3656;незаети площадки;22.64583801;42.14332069;22.64560484;42.13431796;22.63350958;42.13449084;22.63374104;42.14349362
37;FM;FM37;3;FM3703;незаети площадки;22.58692726;42.20719313;22.58670193;42.19819025;22.57459415;42.19835712;22.57481776;42.20736006
37;FM;FM37;20;FM3720;незаети площадки;22.61045997;42.17984706;22.61023151;42.17084424;22.59812909;42.1710135;22.59835582;42.18001638
37;FM;FM37;26;FM3726;незаети площадки;22.61183287;42.23386371;22.61160379;42.22486097;22.59949107;42.22503056;22.59971842;42.23403335
37;FM;FM37;62;FM3762;незаети площадки;22.65934642;42.1971622;22.6591109;42.18815962;22.64700546;42.1883341;22.64723927;42.19733673
37;FM;FM37;87;FM3787;незаети площадки;22.68475685;42.24182141;22.68451734;42.23281902;22.67240353;42.23299633;22.67264132;42.24199878
38;FM;FM38;14;FM3814;незаети площадки;22.60154105;42.30605511;22.60131286;42.29705245;22.58918624;42.29722118;22.58941271;42.3062239
38;FM;FM38;22;FM3822;незаети площадки;22.61320955;42.28787981;22.61297985;42.27887716;22.60085678;42.27904707;22.60108477;42.28804976
38;FM;FM38;30;FM3830;незаети площадки;22.62487147;42.26970337;22.62464025;42.26070075;22.61252074;42.26087183;22.61275024;42.2698745
38;FM;FM38;48;FM3848;незаети площадки;22.63886;42.34155095;22.6386262;42.3325485;22.62649299;42.33272129;22.62672506;42.3417238
38;FM;FM38;51;FM3851;незаети площадки;22.64934839;42.27835976;22.64911362;42.26935726;22.6369926;42.26953096;22.63722565;42.27853351
39;FM;FM39;8;FM3908;незаети площадки;22.59259416;42.4322604;22.59236624;42.42325789;22.58021528;42.42342607;22.58044146;42.43242863
39;FM;FM39;52;FM3952;незаети площадки;22.65193803;42.37738623;22.65170207;42.3683839;22.63956204;42.3685582;22.63979627;42.37756058
39;FM;FM39;70;FM3970;незаети площадки;22.67574247;42.35902923;22.67550327;42.35002698;22.66336692;42.35020373;22.6636044;42.35920604
39;FM;FM39;77;FM3977;незаети площадки;22.67741998;42.42204455;22.67718001;42.41304241;22.66503153;42.41321955;22.66526977;42.42222175
39;FM;FM39;79;FM3979;незаети площадки;22.67790026;42.44004879;22.67766007;42.43104668;22.66550812;42.43122393;22.66574658;42.4402261
45;FM;FM45;18;FM4518;незаети площадки;22.71647314;42.07023676;22.71623058;42.06123425;22.70414964;42.06141432;22.70439049;42.07041689
45;FM;FM45;37;FM4537;незаети площадки;22.74039213;42.06087029;22.74014628;42.05186787;22.72806727;42.05205043;22.72831141;42.0610529
45;FM;FM45;39;FM4539;незаети площадки;22.74088417;42.07887508;22.7406381;42.06987269;22.72855567;42.07005536;22.72880004;42.07905781
45;FM;FM45;56;FM4556;незаети площадки;22.76430397;42.05149895;22.76405483;42.04249664;22.75197774;42.04268167;22.75222518;42.05168405
45;FM;FM45;57;FM4557;незаети площадки;22.76455323;42.06050125;22.76430397;42.05149895;22.75222518;42.05168405;22.75247274;42.06068641
46;FM;FM46;1;FM4601;незаети площадки;22.70511369;42.09742451;22.70487252;42.08842199;22.69278634;42.08860095;22.69302582;42.09760354
46;FM;FM46;6;FM4606;незаети площадки;22.70632124;42.14243691;22.70607951;42.13343446;22.69398479;42.13361371;22.69422481;42.14261622
46;FM;FM46;28;FM4628;незаети площадки;22.73100441;42.1600791;22.73075903;42.1510768;22.71866111;42.15125871;22.71890477;42.16026107
46;FM;FM46;48;FM4648;незаети площадки;22.75520333;42.15971134;22.75495453;42.15070915;22.74285684;42.15089361;22.74310393;42.15989586
46;FM;FM46;86;FM4686;незаети площадки;22.80308863;42.14095658;22.8028332;42.1319546;22.79073939;42.13214404;22.7909931;42.14114608
47;FM;FM47;4;FM4704;незаети площадки;22.70825906;42.21445596;22.70801645;42.20545363;22.69590801;42.20563333;22.69614891;42.21463571
