form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;Отглеждане на рибни и черупчести аквакултури;Alcedo atthis | Земеродно рибарче;;;;;;;Вагрант / скитащ;;;;;;;;;Lacerta trilineata | Ивичест гущер;;;14.4 микроязовир;Пеещ мъжки;;;;E.3 - Пясъчни дюни и полета във вътрешността на страната;;;;;;;
;;;;;Професионален риболов;Alectoris barbara | Берберски кеклик;;;;;;;;;;;;;;;;Lacerta viridis | Зелен гущер;;;14.5 канал;;;;;E.4 - Пещери;;;;;;;
;;;;;Риболов на определени места;Alectoris chukar | Тракийски кеклик;;;;;;;;;;;;;;;;Lissotriton graecus | Влакноопашато тритонче;;;14.6 други;;;;;E.5 - Участъци с вечен лед и снаг;;;;;;;
;;;;;Тралене;Alectoris graeca | Планински кеклик;;;;;;;;;;;;;;;;Lissotriton vulgaris | Обикновен тритон;;;14.7 корито на чешма;;;;;F.1 - Торфени блата и мочурища;;;;;;;
;;;;;Риболов с плаващи мрежи;Alectoris rufa | Червен кеклик;;;;;;;;;;;;;;;;Malpolon insignitus | Вдлъбнаточел смок;;;14.8. коловоз;;;;;F.2 - Растителност по периферията на водоемите;;;;;;;
;;;;;Събиране на примамки;Alle alle | Малка гагарка;;;;;;;;;;;;;;;;Mauremys rivulata | Каспийска блатна костенурка;;;14.9. канавки;;;;;F.3 - Крайречни и приизворни мочурища;;;;;;;
;;;;;Лов;Alopochen aegyptiacus | Египетска гъска;;;;;;;;;;;;;;;;Mediodactylus kotschyi | Балкански гекон;;;14.10 локва на пътя;;;;;G.1 - Лагуни;;;;;;;
;;;;;Вземане от гнездото (соколи);Amandava amandava;;;;;;;;;;;;;;;;Natrix natrix | Обикновена водна змия;;;15. покритие на брегова растителност;;;;;G.2 - Стоящи пресни води;;;;;;;
;;;;;Други въздействия, свързани с отдиха и туризма, които не са посочени по-горе;Ammomanes deserti | Пустинна чучулига;;;;;;;;;;;;;;;;Natrix natrix natrix | Обикновена водна змия;;;15.1 от 0 до 33 %;;;;;G.3 - Стоящи бракични води;;;;;;;
;;;;;Сметища, възстановяване на земи и пресушаване;Ammoperdix griseogularis | Персийска пустинна яребица;;;;;;;;;;;;;;;;Natrix natrix persa | Обикновена (ивичеста) водна змия;;;15.2 от 34 до 66 %;;;;;G.4 - Течащи води;;;;;;;
;;;;;Запълване на канавки, отводнителни канали, езера, вирове, блата или изкопи;Anas acuta | Шилоопашата патица;;;;;;;;;;;;;;;;Natrix tessellata | Сива водна змия;;;15.3 от 67 до 99 %;;;;;H.1 - Море;;;;;;;
;;;;;Пресушаване;Anas carolinensis | Каролинско зимно бърне;;;;;;;;;;;;;;;;Ophisops elegans | Змиеок гущер;;;16. обработваеми земи;;;;;H.2 - Тесни морски заливи;;;;;;;
;;;;;Управление на водната или крайбрежна растителност за целите на дренажа;Anas clypeata | Клопач;;;;;;;;;;;;;;;;Pelobates fuscus | Обикновена чесновница;;;16.1. угар;;;;;H.3 - Естуари;;;;;;;
;;;;;Отстраняване на седименти (тиня...);Anas crecca | Зимно бърне;;;;;;;;;;;;;;;;Pelobates syriacus | Сирийска (балканска) чесновница;;;16.2. зеленчукови градини;;;;;H.4 - Тинести и пясъчни морски плитчини;;;;;;;
